0.004380941390991211, '88.888889', '80.000000', '63.707326', '6863741.077176'
0.004143151369961825, '81.818182', '90.000000', '63.666695', '6865432.938274'
0.003989126947191026, '88.888889', '90.000000', '63.632984', '6863973.392160'
0.0037052101559109157, '90.000000', '80.000000', '63.610148', '5490961.164795'
0.004033159326623987, '72.727273', '100.000000', '63.573274', '6863848.672169'
0.004679550727208455, '90.000000', '81.818182', '63.541837', '6863013.785051'
0.0034068311963762555, '80.000000', '88.888889', '63.502688', '6864977.277608'
0.004418356078011649, '90.000000', '81.818182', '63.482917', '5491123.736759'
0.004067463033339556, '88.888889', '90.000000', '63.441396', '6864059.311592'
0.004789999553135463, '72.727273', '72.727273', '63.410750', '6863379.430639'
0.004507313603940217, '81.818182', '100.000000', '63.381191', '6864652.652869'
0.004067250660487584, '88.888889', '90.000000', '63.349556', '6863644.821317'
0.004788244924237651, '81.818182', '80.000000', '63.327412', '5492934.187017'
0.005124251047770183, '100.000000', '77.777778', '63.252081', '6865402.401917'
0.008101662000020346, '90.000000', '50.000000', '63.174872', '6867825.246360'
0.004837113757466161, '80.000000', '77.777778', '63.140964', '5493234.584387'
0.004748521312590568, '90.000000', '90.000000', '63.113086', '6865965.080332'
0.004871503726856128, '72.727273', '88.888889', '63.078683', '6863599.915769'
0.00449531905505122, '80.000000', '81.818182', '63.041710', '6862605.172195'
0.004220996584211077, '90.000000', '80.000000', '63.021246', '5492399.676943'
0.004625484347343445, '88.888889', '90.000000', '62.972508', '6864434.595040'
0.0051571657491284745, '75.000000', '88.888889', '62.951451', '6864611.309390'
0.004201815678523137, '88.888889', '81.818182', '62.914676', '6864698.096731'
0.00451609962864926, '88.888889', '90.000000', '62.884821', '6853518.361229'
0.005520432335989815, '81.818182', '81.818182', '62.856448', '5499105.368153'
0.005390805356642779, '90.000000', '100.000000', '62.825802', '6864944.988486'
0.0050917701287703085, '80.000000', '81.818182', '62.792882', '6863718.267595'
0.004539112611250444, '90.000000', '81.818182', '62.754525', '6863218.684946'
0.0052719248665703666, '80.000000', '72.727273', '62.731589', '5492399.588333'
0.005275925000508626, '80.000000', '90.000000', '62.702624', '6863150.280438'
0.005569162368774414, '81.818182', '80.000000', '62.663970', '6863239.904224'
0.00560569276615065, '80.000000', '88.888889', '62.636586', '6866380.180687'
0.006075802971335018, '90.000000', '83.333333', '62.610487', '5491409.884752'
0.0046641296810574, '80.000000', '88.888889', '62.573712', '6862532.452643'
0.0058171629905700685, '90.000000', '90.000000', '62.543955', '6864696.166936'
0.0050269040194424715, '72.727273', '81.818182', '62.507180', '6864019.803729'
0.005787024895350139, '88.888889', '88.888889', '62.460914', '6863797.085061'
0.005300663887186253, '90.000000', '90.000000', '62.443515', '5491073.568039'
0.007380341228685881, '72.727273', '72.727273', '62.406739', '6863786.409759'
